UserId,"Recommended Listing,Rating"
119592185,"[(17186834, 4.5857507025024145), (638822, 4.5706034175968142), (12781955, 4.5598506108214281)]"
44377258,"[(7438743, 4.8720840539814247), (14264872, 4.8477418875331022), (15552127, 4.8174474388716959)]"
40404723,"[(3969672, 4.7316507093453577), (14240385, 4.7103572084411267), (13478244, 4.7002640007533811)]"
103795326,"[(5826716, 4.8235283662452311), (17525225, 4.8079935584331519), (14917765, 4.7971755034251604)]"
4908224,"[(8309731, 4.4972461520320497), (566712, 4.4923961735698965), (12448198, 4.4760297995779972)]"
5770076,"[(1439162, 4.6194078542841552), (15543965, 4.589247276539389), (16324410, 4.5851689904991586)]"
33690628,"[(14388651, 4.4290071658189394), (17367289, 4.4241519614707467), (7097, 4.4127702658681365)]"
3902177,"[(8595149, 4.557957493696069), (8952816, 4.5249726967158637), (13842069, 4.5225624956195531)]"
47156888,"[(9113965, 4.8237376586339744), (4456094, 4.7710323817372737), (8720655, 4.7689487587050774)]"
109397817,"[(15867800, 4.7531040335990076), (18590, 4.7360213198478514), (54626, 4.7027445793251568)]"
54357123,"[(10658250, 4.7682401929137175), (10135523, 4.7251891121729237), (5749569, 4.7138597475533883)]"
6912156,"[(5051551, 4.7939872248762363), (1791105, 4.7700111612603244), (17422489, 4.7605541187635287)]"
75933175,"[(13533366, 4.7380477889448862), (11827451, 4.7112086914359432), (5635192, 4.6801129029004276)]"
32306591,"[(112435, 4.5119771940032747), (13786151, 4.5045715722605415), (15072110, 4.4959440976825968)]"
10232595,"[(1766846, 4.5856581335580895), (18550670, 4.5630614249901003), (12991105, 4.5624177787618638)]"
26083694,"[(14917765, 4.7388434169904752), (9752005, 4.7199405061791833), (4317172, 4.7195525962007023)]"
38493782,"[(13396077, 4.6879088145774297), (12310411, 4.6800788924456995), (1141120, 4.6755031346013096)]"
5525511,"[(15535918, 4.6325289318572622), (7709241, 4.6171395684061824), (2725385, 4.6074264898828847)]"
26175010,"[(5636395, 4.6332846131204519), (152520, 4.6278007439269668), (3801701, 4.625823087733977)]"
67182967,"[(10658250, 4.824555606103706), (14917765, 4.8230793359843265), (11163615, 4.8111754002104608)]"
