Positive,Negative
35.3,15.7
17.9,5.5
27.400000000000002,0.0
29.799999999999997,0.0
22.6,0.0
24.6,0.0
21.6,1.7000000000000002
37.5,0.0
22.3,0.0
50.4,0.0
50.6,0.0
0.0,31.2
40.2,0.0
26.400000000000002,0.0
0.0,0.0
37.0,0.0
14.899999999999999,0.0
29.799999999999997,0.0
53.1,0.0
43.7,0.0
56.89999999999999,0.0
23.799999999999997,0.0
32.7,0.0
22.7,3.5000000000000004
22.3,4.7
0.0,1.9
19.7,5.2
15.8,3.0
33.800000000000004,0.0
1.7000000000000002,0.0
55.900000000000006,0.0
33.2,2.7
33.900000000000006,11.5
0.0,18.8
77.8,0.0
46.800000000000004,0.0
44.9,0.0
50.5,0.0
5.4,2.9000000000000004
17.4,1.0999999999999999
10.9,5.7
36.8,0.0
31.4,0.0
15.7,0.0
46.7,0.0
39.4,0.0
36.7,5.3
11.0,5.4
37.2,0.0
76.7,0.0
31.8,0.0
76.8,0.0
36.6,0.0
26.5,4.1000000000000005
4.5,17.599999999999998
35.4,0.0
14.399999999999999,3.6999999999999997
28.199999999999996,0.0
44.4,0.0
14.499999999999998,3.9
34.4,3.5999999999999996
18.5,1.7000000000000002
19.5,0.0
15.2,1.7000000000000002
5.8999999999999995,4.9
14.6,0.0
39.0,5.3
23.799999999999997,0.0
15.7,3.4000000000000004
34.300000000000004,4.3
45.9,0.0
72.5,0.0
71.6,0.0
32.7,0.0
23.200000000000003,0.0
52.0,5.4
40.1,0.0
32.300000000000004,6.4
19.5,2.5
3.9,0.0
45.800000000000004,0.0
25.4,0.0
76.7,0.0
38.9,0.0
46.5,0.0
9.3,4.8
59.0,0.0
25.5,0.0
47.3,0.0
17.5,0.0
21.9,0.0
13.8,3.1
20.200000000000003,0.0
16.0,0.0
36.9,0.0
21.3,2.3
29.2,5.7
80.4,0.0
36.3,0.0
19.2,6.1
67.2,0.0
33.7,7.9
45.7,0.0
45.9,0.0
21.3,3.5999999999999996
0.0,3.5000000000000004
14.799999999999999,13.8
55.60000000000001,0.0
0.0,0.0
0.0,18.8
33.300000000000004,0.0
46.9,0.0
27.0,0.0
14.399999999999999,3.6999999999999997
34.699999999999996,0.0
19.0,6.800000000000001
28.000000000000004,0.0
18.8,0.0
63.3,0.0
38.7,0.0
21.7,0.0
25.4,2.9000000000000004
24.0,0.0
41.5,0.0
19.8,4.6
26.3,0.0
35.9,0.0
34.9,0.0
22.8,3.0
0.0,0.0
38.2,0.0
34.1,0.0
0.0,0.0
23.1,0.0
8.5,3.4000000000000004
10.2,3.8
49.4,0.0
20.4,6.4
21.6,1.4000000000000001
12.1,0.0
15.4,6.5
0.0,4.5
33.6,0.0
0.0,0.0
11.0,0.0
39.5,0.0
42.0,0.0
0.0,0.0
43.1,0.0
16.1,3.6999999999999997
7.8,3.0
11.0,10.8
35.199999999999996,0.0
2.1,3.0
37.4,6.5
30.2,11.0
30.9,0.0
40.9,0.0
11.700000000000001,0.0
38.6,0.0
47.3,0.0
30.2,0.0
23.1,0.0
32.1,0.0
43.8,0.0
21.9,0.0
40.699999999999996,4.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,38.5
36.5,0.0
53.800000000000004,0.0
24.5,3.0
40.9,0.0
39.7,0.0
8.4,13.900000000000002
10.6,12.6
41.6,0.0
22.8,0.0
24.0,0.0
54.50000000000001,0.0
42.8,0.0
22.2,0.0
27.400000000000002,4.2
25.6,0.0
24.4,0.0
34.699999999999996,0.0
12.7,0.0
47.099999999999994,0.0
16.400000000000002,1.7999999999999998
13.4,0.0
35.4,0.0
24.7,0.0
27.0,3.3000000000000003
0.0,4.8
44.1,0.0
20.9,6.2
23.7,0.0
25.0,7.5
32.0,0.0
24.7,0.0
21.3,0.0
27.0,0.0
28.000000000000004,0.0
22.8,0.0
35.4,0.0
27.500000000000004,0.0
17.9,0.0
12.3,2.3
12.8,0.0
38.2,0.0
15.7,2.4
4.6,6.0
51.6,0.0
0.0,0.0
0.0,0.0
0.0,0.0
21.099999999999998,0.0
17.299999999999997,0.0
31.2,0.0
0.0,0.0
30.2,0.0
39.4,0.0
28.999999999999996,0.0
17.299999999999997,4.3
64.7,0.0
24.3,0.0
34.699999999999996,0.0
26.700000000000003,0.0
29.299999999999997,0.0
38.4,0.0
38.5,0.0
18.4,3.8
25.900000000000002,0.0
14.099999999999998,1.7999999999999998
28.000000000000004,0.0
24.6,5.7
37.4,0.0
13.3,4.9
21.0,0.0
26.6,0.8999999999999999
27.800000000000004,0.0
35.5,0.0
28.000000000000004,1.7000000000000002
15.6,1.5
33.1,0.0
24.5,2.9000000000000004
18.0,0.0
24.5,0.0
19.2,2.0
0.0,0.0
1.7999999999999998,1.7000000000000002
67.4,0.0
23.3,0.0
9.5,13.8
22.400000000000002,1.5
62.4,0.0
38.2,0.0
22.3,0.0
10.6,0.0
44.9,0.0
36.4,0.0
25.0,3.6999999999999997
0.0,37.5
23.599999999999998,4.6
17.7,4.2
16.400000000000002,0.0
34.300000000000004,0.0
34.599999999999994,0.0
39.900000000000006,0.0
25.6,0.0
37.8,0.0
14.299999999999999,0.0
43.8,0.0
7.3999999999999995,8.3
37.5,0.0
0.0,0.0
12.7,4.1000000000000005
10.6,0.0
0.0,0.0
24.3,1.3
66.7,0.0
42.5,0.0
17.2,5.800000000000001
25.7,0.0
0.0,0.0
40.5,0.0
0.0,0.0
40.2,0.0
64.5,0.0
19.3,5.0
57.699999999999996,0.0
49.2,0.0
45.7,0.0
28.199999999999996,1.7000000000000002
35.9,0.0
22.3,0.0
48.4,0.0
53.800000000000004,0.0
19.2,11.899999999999999
24.5,2.0
50.6,0.0
49.5,0.0
20.599999999999998,1.3
13.4,3.8
19.3,0.0
36.4,0.0
84.1,0.0
37.2,0.0
0.0,0.0
42.199999999999996,0.0
23.200000000000003,3.3000000000000003
31.2,0.0
29.099999999999998,0.0
16.3,4.1000000000000005
40.2,0.0
15.2,1.6
24.3,0.0
29.099999999999998,0.0
40.5,0.0
26.0,1.7000000000000002
20.0,0.0
7.7,0.0
20.7,0.0
0.0,0.0
33.900000000000006,0.0
12.7,10.100000000000001
21.099999999999998,0.0
31.5,0.0
20.3,0.0
32.2,1.0999999999999999
39.300000000000004,0.0
34.599999999999994,3.3000000000000003
49.5,0.0
29.4,0.0
43.4,2.5
8.5,10.299999999999999
35.6,0.0
35.5,0.0
24.7,0.0
21.2,1.6
0.0,0.0
52.5,0.0
36.5,0.0
31.3,0.0
46.6,2.8000000000000003
42.5,0.0
30.0,0.0
60.5,0.0
