Positive,Negative
34.699999999999996,0.0
42.1,0.0
0.0,0.0
23.3,3.0
21.3,0.0
34.2,0.0
45.7,5.4
43.5,0.0
36.5,0.0
19.5,0.0
0.0,78.3
31.5,2.4
20.200000000000003,1.0
0.0,0.0
28.499999999999996,0.8999999999999999
22.8,3.5000000000000004
7.5,3.9
30.099999999999998,0.0
25.6,2.1999999999999997
37.0,0.0
32.7,0.0
9.8,19.6
11.1,16.6
17.599999999999998,0.0
31.4,0.0
36.4,1.2
32.9,0.0
0.0,0.0
27.3,0.0
31.900000000000002,0.0
38.3,0.0
32.5,4.2
35.699999999999996,0.0
0.0,0.0
31.2,0.0
0.0,0.0
0.0,25.4
33.800000000000004,0.0
30.7,8.6
58.3,0.0
67.2,0.0
15.7,5.4
47.9,0.0
18.0,1.6
22.5,0.0
56.00000000000001,0.0
19.6,16.8
31.5,2.9000000000000004
15.8,0.0
37.8,13.5
40.1,13.0
9.2,7.000000000000001
22.2,3.6999999999999997
39.300000000000004,0.0
17.4,0.0
23.5,7.6
18.099999999999998,0.0
53.7,0.0
6.4,9.3
23.799999999999997,3.8
25.7,7.000000000000001
30.0,1.3
28.799999999999997,0.0
25.2,0.0
0.0,3.1
28.499999999999996,0.0
18.3,0.0
37.5,0.0
31.2,0.0
21.9,0.0
42.199999999999996,0.0
31.7,0.0
31.8,0.0
20.1,0.0
24.8,6.800000000000001
42.1,0.0
68.30000000000001,0.0
12.4,0.0
31.6,0.0
40.2,0.0
47.9,0.0
14.799999999999999,1.7999999999999998
16.0,0.0
29.099999999999998,2.8000000000000003
9.700000000000001,0.0
5.7,0.0
37.2,2.3
33.5,0.0
41.0,0.0
39.1,0.0
23.7,0.0
35.3,0.0
47.8,0.0
27.800000000000004,11.799999999999999
29.799999999999997,0.0
34.9,0.0
28.799999999999997,0.0
38.6,3.5000000000000004
23.3,3.4000000000000004
24.9,1.7999999999999998
41.099999999999994,0.0
20.200000000000003,0.0
39.4,0.0
14.399999999999999,2.0
25.900000000000002,1.9
23.1,0.0
27.800000000000004,2.6
31.900000000000002,0.0
34.9,0.0
19.5,4.3999999999999995
37.9,3.2
31.2,0.6
0.0,0.0
0.0,0.0
17.2,0.0
15.1,0.0
34.9,4.3999999999999995
24.099999999999998,2.7
46.1,0.0
25.1,0.0
23.799999999999997,0.0
54.0,0.0
59.099999999999994,0.0
42.6,0.0
21.099999999999998,1.6
31.6,0.0
4.3,0.0
33.0,2.6
13.100000000000001,1.9
20.0,0.0
25.0,0.0
22.2,2.5
50.4,0.0
50.4,0.0
15.9,2.6
31.2,0.0
7.7,0.0
32.6,0.0
56.99999999999999,0.0
23.1,3.5999999999999996
91.60000000000001,0.0
28.799999999999997,0.0
0.0,0.0
38.1,0.0
30.099999999999998,0.0
47.599999999999994,0.0
19.900000000000002,0.0
32.800000000000004,0.0
0.0,16.3
23.5,0.0
0.0,19.900000000000002
33.0,0.0
41.199999999999996,0.0
14.6,3.2
26.1,2.3
30.5,1.5
0.0,16.3
29.599999999999998,0.0
29.599999999999998,1.2
